 t       A(O)      A(F)      fg       z
 0.01 -8.000000 -8.000000  0.005000  8.393552
 0.02 -8.000000 -8.000000  0.014765  8.290032
 0.03  6.463331  2.362750  0.024177  8.189313
 0.04  7.006675  2.847901  0.033258  8.091276
 0.05  7.311302  3.134366  0.042030  7.995809
 0.06  7.506961  3.331693  0.050507  7.902805
 0.07  7.647021  3.477129  0.058698  7.812163
 0.08  7.755508  3.590714  0.066616  7.723790
 0.09  7.843702  3.683219  0.074268  7.637596
 0.10  7.917201  3.760349  0.081664  7.553496
 0.11  7.979617  3.826444  0.088812  7.471409
 0.12  8.033884  3.885302  0.095722  7.391260
 0.13  8.081762  3.938177  0.102400  7.312977
 0.14  8.123342  3.985059  0.108850  7.236490
 0.15  8.159989  4.027099  0.115070  7.161734
 0.16  8.193582  4.065830  0.121070  7.088648
 0.17  8.224780  4.101785  0.126870  7.017173
 0.18  8.253876  4.135290  0.132450  6.947253
 0.19  8.280967  4.166483  0.137840  6.878833
 0.20  8.306324  4.195620  0.143030  6.811864
 0.21  8.330214  4.223013  0.148040  6.746296
 0.22  8.353232  4.248063  0.152860  6.682083
 0.23  8.375243  4.270713  0.157520  6.619182
 0.24  8.395951  4.291751  0.162010  6.557548
 0.25  8.415342  4.311594  0.166340  6.497143
 0.26  8.433615  4.330435  0.170520  6.437926
 0.27  8.450868  4.348365  0.174540  6.379862
 0.28  8.467155  4.365441  0.178420  6.322914
 0.29  8.482707  4.381855  0.182160  6.267049
 0.30  8.497472  4.397555  0.185750  6.212234
 0.31  8.511565  4.412635  0.189210  6.158438
 0.32  8.525085  4.427192  0.192530  6.105630
 0.33  8.538002  4.441172  0.195730  6.053783
 0.34  8.550444  4.454715  0.198800  6.002867
 0.35  8.562366  4.467758  0.201740  5.952857
 0.36  8.573897  4.480436  0.204570  5.903728
 0.37  8.585001  4.492708  0.207280  5.855454
 0.38  8.595787  4.504846  0.209880  5.808011
 0.39  8.606354  4.517083  0.212360  5.761378
 0.40  8.616676  4.529180  0.214740  5.715532
 0.41  8.626745  4.540942  0.217010  5.670453
 0.42  8.636560  4.552382  0.219180  5.626119
 0.43  8.646151  4.563517  0.221240  5.582511
 0.44  8.655516  4.574397  0.223210  5.539611
 0.45  8.664681  4.584991  0.225080  5.497400
 0.46  8.673639  4.595310  0.226860  5.455861
 0.47  8.682398  4.605405  0.228550  5.414976
 0.48  8.690981  4.615292  0.230150  5.374729
 0.49  8.699379  4.624940  0.231670  5.335105
 0.50  8.707605  4.634393  0.233100  5.296087
 0.51  8.715671  4.643664  0.234450  5.257662
 0.52  8.723567  4.652719  0.235720  5.219815
 0.53  8.731315  4.661607  0.236920  5.182532
 0.54  8.738910  4.670330  0.238040  5.145800
 0.55  8.746361  4.678865  0.239090  5.109606
 0.56  8.753675  4.687252  0.240060  5.073937
 0.57  8.760851  4.695492  0.240970  5.038782
 0.58  8.767903  4.703563  0.241810  5.004128
 0.59  8.774847  4.711503  0.242590  4.969964
 0.60  8.781640  4.719280  0.243300  4.936279
 0.61  8.788300  4.726935  0.243950  4.903062
 0.62  8.794872  4.734473  0.244540  4.870304
 0.63  8.801355  4.741862  0.245070  4.837993
 0.64  8.807675  4.749143  0.245540  4.806120
 0.65  8.813951  4.756284  0.245960  4.774677
 0.66  8.820077  4.763356  0.246330  4.743653
 0.67  8.826124  4.770324  0.246640  4.713039
 0.68  8.832063  4.777168  0.246910  4.682828
 0.69  8.837932  4.783920  0.247130  4.653010
 0.70  8.843693  4.790576  0.247300  4.623577
 0.71  8.849390  4.797118  0.247420  4.594522
 0.72  8.854988  4.803576  0.247500  4.565837
 0.73  8.860489  4.809926  0.247530  4.537514
 0.74  8.865927  4.816192  0.247530  4.509546
 0.75  8.871274  4.822406  0.247480  4.481926
 0.76  8.876565  4.828495  0.247390  4.454646
 0.77  8.881769  4.834535  0.247270  4.427702
 0.78  8.886883  4.840476  0.247110  4.401084
 0.79  8.891947  4.846348  0.246910  4.374789
 0.80  8.896929  4.852152  0.246680  4.348808
 0.81  8.901831  4.857891  0.246420  4.323137
 0.82  8.906683  4.863539  0.246120  4.297769
 0.83  8.911495  4.869107  0.245790  4.272698
 0.84  8.916196  4.874610  0.245430  4.247919
 0.85  8.920886  4.880012  0.245040  4.223428
 0.86  8.925468  4.885352  0.244620  4.199217
 0.87  8.930011  4.890638  0.244180  4.175282
 0.88  8.934516  4.895828  0.243700  4.151619
 0.89  8.938952  4.900945  0.243200  4.128222
 0.90  8.943321  4.905991  0.242680  4.105086
 0.91  8.947651  4.910964  0.242120  4.082207
 0.92  8.951916  4.915870  0.241550  4.059581
